Rk,Player,salary,type,Season,Age,Tm,Lg,MP,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
210,Evan Fournier,17000000,Cap Space,2018-19,26,ORL,NBA,31.5,12.3,81,81,2553,6.6,15.1,4.4,8.7,2.2,6.3,1.9,2.4,0.5,3.1,3.6,4.2,1,0.2,2.2,3.2,17.3,0.438,0.509,0.34,0.509,0.806,0.536
211,Rodney Hood,5718000,MLE,2018-19,26,TOT,NBA,26.3,12.3,72,49,1893,5.6,12.8,4,8.3,1.6,4.5,2.6,2.9,0.5,2.5,3,2.4,1.1,0.2,1,2.8,15.3,0.435,0.478,0.356,0.498,0.884,0.545
212,Dennis Smith,4463640,1st Round Pick,2018-19,21,TOT,NBA,28.5,12.3,53,50,1508,6.6,15.5,5,10.6,1.6,5,2.4,3.7,0.8,2.9,3.7,6,1.6,0.5,3.7,3.1,17.2,0.428,0.477,0.322,0.479,0.635,0.502
213,Eric Gordon,14057730,Cap Space,2018-19,30,HOU,NBA,31.7,12.2,68,53,2158,6.4,15.6,2.8,5.6,3.6,10,2,2.5,0.3,2.2,2.5,2.2,0.7,0.5,1.5,2.4,18.4,0.409,0.497,0.36,0.525,0.783,0.549
214,Gary Harris,17839286,1st Round Pick,2018-19,24,DEN,NBA,28.8,12.2,57,48,1639,5.9,14,4.1,8.7,1.8,5.3,2.5,3.2,0.9,2.6,3.5,2.8,1.2,0.4,1.5,2.5,16.2,0.424,0.476,0.339,0.488,0.799,0.526
215,Danuel House,3540000,MLE,2018-19,25,HOU,NBA,25.1,12.2,39,13,979,4.3,9.3,1.6,2.7,2.7,6.5,2.1,2.6,0.9,4.2,5.1,1.5,0.8,0.4,1.3,2.9,13.5,0.468,0.595,0.416,0.615,0.789,0.646
216,Allonzo Trier,3551100,Bi-Annual Exception,2018-19,23,NYK,NBA,22.8,12.2,64,3,1459,5.7,12.8,4.4,9.5,1.3,3.3,4.4,5.5,0.8,4.1,4.9,2.9,0.7,0.3,2.9,2.9,17.1,0.448,0.466,0.394,0.498,0.803,0.564
217,DeMarre Carroll,7000000,0,2018-19,32,BRK,NBA,25.4,12.1,67,8,1703,4.8,12.2,2.6,5.6,2.2,6.6,3.9,5.1,1.4,5.9,7.4,1.8,0.7,0.2,1.5,2.4,15.7,0.395,0.457,0.342,0.487,0.76,0.546
218,Jae Crowder,7815533,Bird Rights,2018-19,28,UTA,NBA,27.1,12.1,80,11,2166,5.3,13.2,2.4,4.6,2.9,8.7,2.4,3.3,1,5.4,6.4,2.2,1.1,0.5,1.4,2.8,15.8,0.399,0.527,0.331,0.508,0.721,0.538
219,George Hill,9133907,0,2018-19,32,TOT,NBA,21.7,12.1,60,13,1302,4.7,10.4,3.4,6.2,1.3,4.2,1.9,2.4,1.1,3,4.1,3.7,1.4,0.2,1.4,2.8,12.7,0.452,0.547,0.314,0.516,0.824,0.554
221,Rajon Rondo,2564753,0,2018-19,32,LAL,NBA,29.8,12.1,46,29,1369,4.6,11.4,3.3,7.6,1.3,3.7,0.6,0.9,0.9,5.5,6.4,9.7,1.5,0.2,3.3,2.6,11.1,0.405,0.428,0.359,0.464,0.639,0.473
222,Trevor Ariza,12200000,0,2018-19,33,TOT,NBA,34,12,69,69,2349,4.5,11.3,2.3,4.6,2.2,6.7,2,2.5,0.8,4.9,5.7,3.9,1.4,0.3,1.6,2,13.2,0.399,0.493,0.334,0.498,0.793,0.534
223,Bryn Forbes,2875000,Early Bird Rights,2018-19,25,SAS,NBA,28,12,82,81,2293,5.7,12.4,2.9,5.9,2.8,6.5,1.1,1.2,0.3,3.5,3.8,2.7,0.7,0.1,1.3,2.5,15.2,0.456,0.489,0.426,0.568,0.885,0.586
224,Collin Sexton,4764960,1st Round Pick,2018-19,20,CLE,NBA,31.8,12,82,72,2605,7.2,16.7,5.5,12.6,1.6,4.1,3,3.5,0.8,2.5,3.3,3.4,0.6,0.1,2.6,2.6,18.9,0.43,0.44,0.402,0.48,0.839,0.52
225,Nicolas Batum,25565217,Cap Space,2018-19,30,CHO,NBA,31.4,11.9,75,72,2354,3.9,8.6,2.1,4,1.8,4.6,1.2,1.4,1.1,4.9,6,3.8,1.1,0.7,1.8,2.1,10.7,0.45,0.519,0.389,0.553,0.865,0.581
226,Kent Bazemore,19269662,Cap Space,2018-19,29,ATL,NBA,24.5,11.9,67,35,1643,6.1,15.1,4,8.6,2.1,6.6,2.8,3.8,0.8,4.9,5.7,3.3,2,0.9,2.7,3.7,17.1,0.402,0.465,0.32,0.472,0.726,0.507
227,Marco Belinelli,5846154,MLE,2018-19,32,SAS,NBA,23,11.9,79,1,1815,5.7,13.7,2.7,5.9,2.9,7.8,2.2,2.5,0.3,3.6,3.9,2.6,0.7,0.2,1.4,2.4,16.4,0.413,0.468,0.372,0.52,0.903,0.557
228,Luke Kennard,3827160,1st Round Pick,2018-19,22,DET,NBA,22.8,11.9,63,10,1437,5.7,13,3.1,6.3,2.7,6.7,1.3,1.5,0.3,4.3,4.6,2.9,0.7,0.3,1.4,2.3,15.4,0.438,0.486,0.394,0.54,0.836,0.56
