Rk,Player,salary,type,Season,Age,Tm,Lg,MP,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
269,James Johnson,15349400,Cap space,2018-19,31,MIA,NBA,21.2,10.9,55,33,1164,5.1,11.7,3.5,7.1,1.5,4.6,1.5,2.2,0.7,4.8,5.4,4.2,1.1,0.8,2.3,3.5,13.2,0.433,0.496,0.336,0.499,0.714,0.522
270,DeAndre' Bembry,2603982,1st Round pick,2018-19,24,ATL,NBA,23.5,10.8,82,15,1931,5.1,11.5,4.2,8.3,0.9,3.2,1.6,2.5,1,5.7,6.7,3.8,2,0.8,2.6,3.5,12.8,0.446,0.508,0.289,0.487,0.64,0.508
271,Mikal Bridges,4161000,1st Round Pick,2018-19,22,PHO,NBA,29.5,10.8,82,56,2417,3.6,8.4,2,3.7,1.6,4.7,1.4,1.8,0.8,3.1,3.9,2.6,1.9,0.6,1,3,10.2,0.43,0.548,0.335,0.523,0.805,0.556
272,Damyean Dotson,1618520,Minimum Salary,2018-19,24,NYK,NBA,27.5,10.8,73,40,2004,5.2,12.5,2.9,6.4,2.3,6.1,1.3,1.8,0.6,4.1,4.7,2.4,1,0.2,1.3,2.4,14,0.415,0.461,0.368,0.506,0.745,0.526
274,Mario Hezonja,1737145,Minimum Salary,2018-19,23,NYK,NBA,20.8,10.8,58,24,1206,5.7,13.9,4.4,9.3,1.3,4.5,2.6,3.4,0.8,6.3,7.1,2.6,1.7,0.2,2.6,3.3,15.3,0.412,0.478,0.276,0.457,0.763,0.497
275,Mike Muscala,2028594,0,2018-19,27,TOT,NBA,20.4,10.8,64,10,1306,4,10,1.5,2.9,2.5,7.1,1.9,2.3,1.6,5.2,6.7,2.1,0.6,1,1.3,3.6,12.4,0.402,0.533,0.348,0.525,0.824,0.564
276,Langston Galloway,7333333,MLE,2018-19,27,DET,NBA,21.8,10.7,80,4,1745,4.7,12.1,1.9,4.3,2.8,7.8,1.7,2,1,2.5,3.5,1.8,0.8,0.2,0.5,2.8,13.9,0.388,0.449,0.355,0.503,0.844,0.534
278,Tony Snell,11392857,Cap space,2018-19,27,MIL,NBA,17.6,10.7,74,12,1304,4.5,10,2.3,4.3,2.2,5.6,1,1.2,0.8,3.5,4.3,1.9,0.7,0.5,0.6,2.5,12.3,0.452,0.522,0.397,0.564,0.881,0.585
279,Josh Jackson,7059480,1st Round Pick,2018-19,21,PHO,NBA,25.2,10.6,79,29,1988,6.3,15.2,5,11.2,1.3,4.1,2.6,3.9,1.2,5.1,6.3,3.3,1.3,1,3.1,3.8,16.5,0.413,0.445,0.324,0.456,0.671,0.487
280,Reggie Bullock,4000000,Room Exception,2018-19,27,TOT,NBA,29.8,10.5,63,60,1879,4.7,11.4,1.9,3.9,2.8,7.5,1.4,1.6,0.4,2.9,3.3,2.5,0.8,0.2,1.2,2.1,13.6,0.412,0.483,0.377,0.537,0.859,0.563
282,Torrey Craig,2100000,Cap Space,2018-19,28,DEN,NBA,20,10.4,75,37,1503,3.8,8.7,2.4,4.2,1.5,4.5,1.2,1.7,2.1,4.2,6.3,1.7,0.9,1.1,1.1,4.2,10.3,0.442,0.569,0.324,0.526,0.7,0.547
284,Wesley Matthews,2564753,0,2018-19,32,TOT,NBA,30.3,10.3,69,68,2091,4.8,12,2.2,5.1,2.6,6.9,2.3,2.8,0.6,2.4,2.9,2.8,0.9,0.3,1.6,2.8,14.5,0.4,0.437,0.372,0.507,0.81,0.546
285,D.J. Wilson,2961120,1st Round Pick,2018-19,22,MIL,NBA,18.4,10.3,48,3,882,4.2,10.2,2.4,5.1,1.9,5.2,1.1,1.9,1.8,7.2,9.1,2.1,0.7,0.8,1.3,3.5,11.4,0.414,0.468,0.362,0.506,0.553,0.515
287,Kevin Huerter,2636280,1st Round Pick,2018-19,20,ATL,NBA,27.3,10.1,75,59,2048,4.8,11.5,2.4,5.3,2.4,6.2,0.7,1,1.1,3.3,4.3,3.8,1.1,0.4,1.9,2.7,12.8,0.419,0.457,0.385,0.522,0.732,0.533
288,Justin Holiday,4767000,Room Exception,2018-19,29,TOT,NBA,31.8,10,82,77,2607,4.1,10.7,1.9,4.3,2.2,6.4,1.3,1.5,0.6,3.8,4.5,2,1.7,0.5,1.4,2.3,11.8,0.386,0.442,0.348,0.49,0.896,0.52
289,De'Anthony Melton,1416852,0,2018-19,20,PHO,NBA,19.7,9.9,50,31,984,3.7,9.4,2.6,5.9,1.1,3.5,0.8,1,0.9,4,4.9,5.8,2.5,0.8,2.7,4.1,9.1,0.391,0.441,0.305,0.447,0.75,0.466
291,OG Anunoby,2281800,1st Round Pick,2018-19,21,TOR,NBA,20.2,9.8,67,6,1352,4.9,10.8,3.1,5.4,1.8,5.4,1,1.7,1.5,3.7,5.2,1.3,1.2,0.6,1.5,3.7,12.5,0.453,0.574,0.332,0.536,0.581,0.544
293,Kenrich Williams,1416852,Minimum Salary,2018-19,24,NOP,NBA,23.5,9.7,46,29,1079,3.6,9.3,1.8,4.1,1.7,5.2,0.4,0.6,1.8,5.5,7.3,2.8,1.5,0.6,1.2,3.2,9.3,0.384,0.447,0.333,0.477,0.684,0.485
295,Stanley Johnson,3623000,Bi-annual Exception,2018-19,22,TOT,NBA,18.3,9.6,66,7,1208,5.1,13.1,3.2,6.7,1.8,6.4,1.5,1.9,1,5.5,6.5,2.6,1.8,0.4,2.4,3.4,13.5,0.389,0.484,0.288,0.459,0.781,0.485
297,Dragan Bender,1678854,Minimum Salary,2018-19,21,PHO,NBA,18,9.5,46,27,826,3.8,8.6,2.9,4.2,1,4.4,1.4,2.4,1.5,6.5,8,2.4,0.8,1,1.6,3.9,10,0.447,0.688,0.218,0.503,0.593,0.521
299,Frank Jackson,1618520,MLE,2018-19,20,NOP,NBA,19.2,9.4,61,16,1169,6,13.8,4.3,8.6,1.6,5.2,1.7,2.2,0.8,3.4,4.1,2.1,0.8,0.1,1.5,2.8,15.2,0.434,0.507,0.314,0.493,0.74,0.517
300,Rodney McGruder,4629630,0,2018-19,27,MIA,NBA,23.5,9.4,66,45,1550,4.3,10.7,2.5,5.5,1.8,5.2,1.2,1.7,1.4,4.1,5.5,2.6,0.8,0.3,1.5,2.7,11.7,0.403,0.453,0.351,0.489,0.722,0.51
